,year,electorate_id,electorate_name,party_votes,candidate_votes,registered_voters,total_voters
0,1999,1996_00,Albany,34465,34102,41815,55007
1,1999,1996_01,Aoraki,34025,33827,39665,54106
2,1999,1996_02,Auckland Central,32885,32640,39934,53034
3,1999,1996_03,Banks Peninsula,37532,37379,42584,54694
4,1999,1996_04,Bay of Plenty,34484,34308,41630,51893
5,1999,1996_05,Christchurch Central,32918,32632,40083,56539
6,1999,1996_06,Christchurch East,32212,31968,38061,52728
7,1999,1996_07,Clutha-Southland,30637,30495,37167,54441
8,1999,1996_08,Coromandel,34527,34220,40278,52800
9,1999,1996_09,Dunedin North,31435,31227,36885,54353
10,1999,1996_10,Dunedin South,35827,35488,41686,56332
11,1999,1996_11,East Coast,27296,26927,33275,51220
12,1999,1996_12,Epsom,33854,33561,40316,55254
13,1999,1996_13,Hamilton East,32797,32524,39443,53606
14,1999,1996_14,Hamilton West,32026,31744,39305,55828
15,1999,1996_15,Hunua,31694,31356,38326,54795
16,1999,1996_16,Hutt South,32011,31724,37576,54689
17,1999,1996_17,Ilam,33693,33364,39472,53725
18,1999,1996_18,Invercargill,31595,31481,37303,54208
19,1999,1996_19,Kaikoura,32365,32079,38550,51414
20,1999,1996_20,Karapiro,31024,30499,38167,53782
21,1999,1996_21,Mana,30152,29984,34968,52583
22,1999,1996_22,Mangere,23590,23159,32851,53331
23,1999,1996_23,Manukau East,29841,29456,40490,53413
24,1999,1996_24,Manurewa,27274,26833,35815,55739
25,1999,1996_25,Maungakiekie,28494,28026,36417,54361
26,1999,1996_26,Mt Albert,29837,29490,37264,53580
27,1999,1996_27,Mt Roskill,32133,31705,40122,56113
28,1999,1996_28,Napier,33171,32934,38801,53821
29,1999,1996_29,Nelson,34845,34705,41212,54657
30,1999,1996_30,New Plymouth,32422,32298,38635,53463
31,1999,1996_31,North Shore,35200,34804,41569,55707
32,1999,1996_32,Northcote,31576,31290,38191,53322
33,1999,1996_33,Northland,30747,30553,36748,53646
34,1999,1996_34,Ohariu-Belmont,35727,35264,41067,55108
35,1999,1996_35,Otago,32476,32178,37096,51785
36,1999,1996_36,Otaki,36025,35896,41629,54761
37,1999,1996_37,Pakuranga,32498,32067,39358,54759
38,1999,1996_38,Palmerston North,32302,32046,38376,55120
39,1999,1996_39,Port Waikato,30442,29994,37490,53794
40,1999,1996_40,Rakaia,33206,32921,38633,51898
41,1999,1996_41,Rangitikei,31563,31171,37381,54173
42,1999,1996_42,Rimutaka,31453,31231,36913,53630
43,1999,1996_43,Rodney,33693,33508,39579,51041
44,1999,1996_44,Rongotai,32954,32701,38635,53336
45,1999,1996_45,Rotorua,29406,29125,35457,53188
46,1999,1996_46,Tamaki,32935,32575,39326,54063
47,1999,1996_47,Taranaki-King Country,27712,27387,34455,53204
48,1999,1996_48,Taupo,27986,27765,34483,51698
49,1999,1996_49,Tauranga,33951,33781,40079,51812
50,1999,1996_50,Te Atatu,29778,29551,36947,52960
51,1999,1996_51,Titirangi,29677,29410,35696,51725
52,1999,1996_52,Tukituki,32590,32320,38768,56068
53,1999,1996_53,Waimakariri,37164,36892,43305,56652
54,1999,1996_54,Wairarapa,32765,32545,38023,53785
55,1999,1996_55,Waitakere,30204,29889,36916,53171
56,1999,1996_56,Wellington Central,36562,36115,41883,51085
57,1999,1996_57,West Coast-Tasman,30940,30866,36590,51416
58,1999,1996_58,Whanganui,31086,30881,37123,54213
59,1999,1996_59,Whangarei,33298,33157,39350,53346
60,1999,1996_60,Wigram,33857,33673,40803,56209
61,1999,1996_61,Hauraki,16025,15808,26476,55074
62,1999,1996_62,Ikaroa-Rawhiti,18233,18155,26957,58287
63,1999,1996_63,Te Tai Hauauru,15789,15651,24725,54443
64,1999,1996_64,Te Tai Tokerau,18228,18138,27748,55943
65,1999,1996_65,Te Tai Tonga,18778,18621,27584,58260
66,1999,1996_66,Waiariki,17607,17409,25910,55251
